"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"unknown","Thu Nov 11 16:39:20 PKT 2021","Thu Jan 01 05:00:00 PKT 1970","-1636630760641","","Login to MyLicense BackPack: Add Licensee","","Login to MyLicense BackPack: Add Licensee","Then I click on Inspection Type","Then I click on Inspection Type",""
"unknown","Thu Nov 11 16:39:20 PKT 2021","Thu Jan 01 05:00:00 PKT 1970","-1636630760640","","Login to MyLicense BackPack: Add Licensee","","Login to MyLicense BackPack: Add Licensee","Then I click on Drop Down","Then I click on Drop Down",""
"broken","Thu Nov 11 16:39:20 PKT 2021","Thu Nov 11 16:39:20 PKT 2021","0","","Login to MyLicense BackPack: Add Licensee","","Login to MyLicense BackPack: Add Licensee","Then I click on set ""automation-scripts""","Then I click on set ""automation-scripts""",""
"broken","Thu Nov 11 16:39:20 PKT 2021","Thu Nov 11 16:39:20 PKT 2021","0","","Login to MyLicense BackPack: Add Licensee","","Login to MyLicense BackPack: Add Licensee","Then I click on county dropdown","Then I click on county dropdown",""
"passed","Thu Nov 11 16:38:50 PKT 2021","Thu Nov 11 16:38:50 PKT 2021","1","","Login to MyLicense BackPack: Login to MyLicense BackPack","","Login to MyLicense BackPack: Login to MyLicense BackPack","","",""
"skipped","Thu Nov 11 16:39:20 PKT 2021","Thu Nov 11 16:39:20 PKT 2021","0","","Login to MyLicense BackPack: Add Licensee","","Login to MyLicense BackPack: Add Licensee","I click on Drop Down","I click on Drop Down",""
"broken","Thu Nov 11 16:38:50 PKT 2021","Thu Nov 11 16:39:20 PKT 2021","30442","","Login to MyLicense BackPack: Add Licensee","","Login to MyLicense BackPack: Add Licensee","When I click on Add Licensee","When I click on Add Licensee",""
"passed","Thu Nov 11 16:38:38 PKT 2021","Thu Nov 11 16:38:41 PKT 2021","3090","","Login to MyLicense BackPack: Login to MyLicense BackPack","","Login to MyLicense BackPack: Login to MyLicense BackPack","Then I click on next","Then I click on next",""
"skipped","Thu Nov 11 16:39:20 PKT 2021","Thu Nov 11 16:39:20 PKT 2021","0","","Login to MyLicense BackPack: Add Licensee","","Login to MyLicense BackPack: Add Licensee","I click on Inspection Type","I click on Inspection Type",""
"passed","Thu Nov 11 16:38:38 PKT 2021","Thu Nov 11 16:38:38 PKT 2021","227","","Login to MyLicense BackPack: Login to MyLicense BackPack","","Login to MyLicense BackPack: Login to MyLicense BackPack","When I enter ""osama@mavrictech.com""","When I enter ""osama@mavrictech.com""",""
"passed","Thu Nov 11 16:38:42 PKT 2021","Thu Nov 11 16:38:47 PKT 2021","5106","","Login to MyLicense BackPack: Login to MyLicense BackPack","","Login to MyLicense BackPack: Login to MyLicense BackPack","Then I click on login button","Then I click on login button",""
"passed","Thu Nov 11 16:39:20 PKT 2021","Thu Nov 11 16:39:20 PKT 2021","0","","Login to MyLicense BackPack: Add Licensee","","Login to MyLicense BackPack: Add Licensee","","",""
"passed","Thu Nov 11 16:38:31 PKT 2021","Thu Nov 11 16:38:38 PKT 2021","7347","","Login to MyLicense BackPack: Login to MyLicense BackPack","","Login to MyLicense BackPack: Login to MyLicense BackPack","Given I am on the login page","Given I am on the login page",""
"passed","Thu Nov 11 16:38:47 PKT 2021","Thu Nov 11 16:38:50 PKT 2021","3073","","Login to MyLicense BackPack: Login to MyLicense BackPack","","Login to MyLicense BackPack: Login to MyLicense BackPack","Then I click on Yes button","Then I click on Yes button",""
"broken","Thu Nov 11 16:39:20 PKT 2021","Thu Nov 11 16:39:20 PKT 2021","0","","Login to MyLicense BackPack: Add Licensee","","Login to MyLicense BackPack: Add Licensee","Then I click on Add button","Then I click on Add button",""
"broken","Thu Nov 11 16:39:20 PKT 2021","Thu Nov 11 16:39:20 PKT 2021","1","","Login to MyLicense BackPack: Add Licensee","","Login to MyLicense BackPack: Add Licensee","Then I select county from dropdown","Then I select county from dropdown",""
"passed","Thu Nov 11 16:38:41 PKT 2021","Thu Nov 11 16:38:42 PKT 2021","61","","Login to MyLicense BackPack: Login to MyLicense BackPack","","Login to MyLicense BackPack: Login to MyLicense BackPack","Then Insert ""OaMavric385""","Then Insert ""OaMavric385""",""
